id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000020,出会って5秒でバトル,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::bb045f7377053f650bc6e0cef46d1f2551f3ad98e483f2b214392eda47987ecc,2026-09-12
A00000021,推しが武道館いってくれたら死ぬ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a801fe068776faf185c67e8be34009ffb3af048a6c1c6cd52afaab8a7b3c1d39,2026-09-12
A00000022,ダンジョンに出会いを求めるのは間違っているだろうか,,,,,TV,,,,,S3174a8ec8c40667c2b784c78511780d7c2b2e26a05686cb6603e72c8227f0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5872dc8035dd7e308ebc1617021f0fa1e2e4d8a6633b704501e657ec353eebaf,2026-09-12
A00000023,イナズマイレブン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5ffd13fa2350c526e30a400fd6516a288e315675369b09aea0bf9c8318d00dc5,2026-09-12
A00000024,琥珀色のハンター,,,,,OVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::3b078192c48d3decb1d855c7309b19cfef3cb0bbfb1b78d82ab04ba635175bcf,2026-09-12
A00000025,キングダム,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::da6d183d0b33585e7f38163f93a177702d3977387fbe4c669eced962d8c4c8a7,2026-09-12
A00000026,チェンソーマン,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::00ea3864413e63428a3553a007ed428adf44738effd3d1e2faa8022df6936ad8,2026-09-12
A00000027,えんとつ町のプペル,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ad05bd1db8bf611452f98aafa4102eb8759586b5b07e82ab51ffdf93a2773cbd,2026-09-12
A00000028,ゲキドル,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a6c8d3e36e2c3ba78bc297527e5d40e08a4dfeb40fba4c128383b3881b70ce3c,2026-09-12
A00000029,ココロコネクト,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::25663b1d37f929f01187a103f42f762df75b14600c6d4d402883585caf882184,2026-09-12
