id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000021,邪神ちゃんドロップキックX,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::65c7315c9db2818833e03c2cf8b5d2a048a4526494621ba6481b247ba4027d19,2026-09-10
A00000022,響け!ユーフォニアム3,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a03e35ac1fcebeabc5364578c3f493c2005f48f63c932f50635e80ad7cdb6111,2026-09-10
A00000023,その着せ替え人形は恋をする,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::dacb83ec1cdd87b2c64ca5f9208f734e38abd4f5a38006415e23f4485ca256f2,2026-09-10
A00000024,ルパン三世,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::61edb0c386c70168d066b23151b26bd64bdf9d6a50ea14dcf9cebf7b23c7dcd9,2026-09-10
A00000025,ポケットモンスター,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2f4c3db13998e4e350e25882cfd108d053f10d793e30e0f42bced9daba21deda,2026-09-10
A00000026,怪獣8号,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::982b013651fa2cd75fb8295a252c274f9e0cded4d5d0bd73775aab1073ea6252,2026-09-10
A00000027,夜桜さんちの大作戦,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::9577141d0ed0bce636077db65889e2f5c136bb825f7261b2c9b4e5f8e0eb240d,2026-09-10
A00000028,きみの色,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-30,,,,,,,,,,,discovery-key::e4c2ffb9ca8e91ae35f0b9f9021a680b8f6109a65d65018ae047b4657624a185,2026-09-10
A00000029,ライアー・ライアー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::fce6bb2c52f9ae52c1dcf5c91f285d3f4bfb9a959f7676959ddade6349b2b50f,2026-09-10
A00000030,道産子ギャルはなまらめんこい,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::06c60bc0c3d6ec0bdb848eb9375f7f3946f17b735fd605e0f5215f5598421a3f,2026-09-10
